accuracy,precision,recall,f1,size,classifier,system,size type
0.6507352941176471,0.7949973439776017,0.6507352941176471,0.6507352941176471,5,maxEnt,jabref,abs
0.8312342569269522,0.8812129046899467,0.8312342569269522,0.8312342569269522,10,maxEnt,jabref,abs
0.8459563543003851,0.8916225732640896,0.8459563543003851,0.8459563543003851,15,maxEnt,jabref,abs
0.9031413612565445,0.925727515681008,0.9031413612565445,0.9031413612565445,20,maxEnt,jabref,abs
0.9198931909212283,0.9360290051479037,0.9198931909212283,0.9198931909212283,25,maxEnt,jabref,abs
0.7205882352941176,0.7921173524732826,0.7205882352941176,0.7205882352941176,5,naive,jabref,abs
0.7984886649874056,0.8302884178431693,0.7984886649874056,0.7984886649874056,10,naive,jabref,abs
0.8806161745827985,0.9003586316847324,0.8806161745827985,0.8806161745827985,15,naive,jabref,abs
0.8861256544502618,0.9039309243949855,0.8861256544502618,0.8861256544502618,20,naive,jabref,abs
0.8785046728971962,0.9043616411802338,0.8785046728971962,0.8785046728971962,25,naive,jabref,abs
0.6397058823529411,0.753123434451067,0.6397058823529411,0.6397058823529411,5,svm,jabref,abs
0.8476070528967254,0.8642103474342399,0.8476070528967254,0.8476070528967254,10,svm,jabref,abs
0.8549422336328626,0.866887431396056,0.8549422336328626,0.8549422336328626,15,svm,jabref,abs
0.893979057591623,0.9050187855490426,0.893979057591623,0.893979057591623,20,svm,jabref,abs
0.931909212283044,0.9384042994495508,0.931909212283044,0.931909212283044,25,svm,jabref,abs
