FileName,Label,FileContent
ArgumentProcessor.java,CLI,"['io', 'file', 'io', 'ioexcept', 'nio', 'file', 'path', 'nio', 'file', 'path', 'util', 'array', 'list', 'util', 'collect', 'util', 'collect', 'util', 'list', 'util', 'local', 'util', 'map', 'util', 'option', 'util', 'pref', 'back', 'store', 'except', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'jab', 'ref', 'except', 'net', 'sf', 'jabref', 'gui', 'externalfil', 'auto', 'set', 'link', 'net', 'sf', 'jabref', 'gui', 'import', 'fetcher', 'entri', 'fetcher', 'net', 'sf', 'jabref', 'gui', 'import', 'fetcher', 'entri', 'fetcher', 'net', 'sf', 'jabref', 'logic', 'custom', 'entri', 'type', 'manag', 'net', 'sf', 'jabref', 'logic', 'bibtexkeypattern', 'bibtex', 'key', 'pattern', 'util', 'net', 'sf', 'jabref', 'logic', 'export', 'bib', 'databas', 'writer', 'net', 'sf', 'jabref', 'logic', 'export', 'bibtex', 'databas', 'writer', 'net', 'sf', 'jabref', 'logic', 'export', 'export', 'format', 'net', 'sf', 'jabref', 'logic', 'export', 'export', 'format', 'net', 'sf', 'jabref', 'logic', 'export', 'file', 'save', 'session', 'net', 'sf', 'jabref', 'logic', 'export', 'iexport', 'format', 'net', 'sf', 'jabref', 'logic', 'export', 'save', 'except', 'net', 'sf', 'jabref', 'logic', 'export', 'save', 'prefer', 'net', 'sf', 'jabref', 'logic', 'export', 'save', 'session', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'except', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'format', 'reader', 'net', 'sf', 'jabref', 'logic', 'import', 'open', 'databas', 'net', 'sf', 'jabref', 'logic', 'import', 'output', 'printer', 'net', 'sf', 'jabref', 'logic', 'import', 'parser', 'result', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'logic', 'layout', 'layout', 'formatt', 'prefer', 'net', 'sf', 'jabref', 'logic', 'log', 'jab', 'ref', 'logger', 'net', 'sf', 'jabref', 'logic', 'net', 'urldownload', 'net', 'sf', 'jabref', 'logic', 'search', 'databas', 'searcher', 'net', 'sf', 'jabref', 'logic', 'search', 'search', 'queri', 'net', 'sf', 'jabref', 'logic', 'util', 'os', 'net', 'sf', 'jabref', 'model', 'default', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'context', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'mode', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'model', 'metadata', 'meta', 'data', 'net', 'sf', 'jabref', 'model', 'string', 'util', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'net', 'sf', 'jabref', 'prefer', 'search', 'prefer', 'net', 'sf', 'jabref', 'share', 'pref', 'share', 'databas', 'prefer', 'org', 'apach', 'common', 'log', 'log', 'org', 'apach', 'common', 'log', 'log', 'factori', 'option', 'option', 'prefer', 'ex', 'net', 'sf', 'jabref', 'cli']"
AuxCommandLine.java,CLI,"['net', 'sf', 'jabref', 'logic', 'auxpars', 'aux', 'parser', 'net', 'sf', 'jabref', 'logic', 'auxpars', 'aux', 'parser', 'result', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'model', 'string', 'util', 'net', 'sf', 'jabref', 'cli']"
CrossrefFetcherEvaluator.java,CLI,"['io', 'file', 'reader', 'io', 'ioexcept', 'util', 'list', 'util', 'option', 'util', 'concurr', 'count', 'down', 'latch', 'util', 'concurr', 'executor', 'servic', 'util', 'concurr', 'executor', 'util', 'concurr', 'atom', 'atom', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'logic', 'import', 'parser', 'result', 'net', 'sf', 'jabref', 'logic', 'import', 'fetcher', 'cross', 'ref', 'net', 'sf', 'jabref', 'logic', 'import', 'fileformat', 'bibtex', 'parser', 'net', 'sf', 'jabref', 'logic', 'util', 'doi', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'model', 'entri', 'field', 'name', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'net', 'sf', 'jabref', 'cli']"
GenerateCharacterTable.java,CLI,"['util', 'map', 'util', 'tree', 'map', 'net', 'sf', 'jabref', 'model', 'string', 'htmlunicod', 'convers', 'map', 'net', 'sf', 'jabref', 'cli']"
ImportInspectionCommandLine.java,CLI,"['util', 'collect', 'util', 'collect', 'util', 'link', 'list', 'util', 'list', 'net', 'sf', 'jabref', 'gui', 'import', 'fetcher', 'entri', 'fetcher', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'inspector', 'net', 'sf', 'jabref', 'logic', 'import', 'output', 'printer', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'cli']"
JabRefCLI.java,CLI,"['util', 'array', 'util', 'list', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'logic', 'export', 'export', 'format', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'org', 'apach', 'common', 'cli', 'command', 'line', 'org', 'apach', 'common', 'cli', 'default', 'parser', 'org', 'apach', 'common', 'cli', 'help', 'formatt', 'org', 'apach', 'common', 'cli', 'option', 'org', 'apach', 'common', 'cli', 'option', 'org', 'apach', 'common', 'cli', 'pars', 'except', 'org', 'apach', 'common', 'log', 'log', 'org', 'apach', 'common', 'log', 'log', 'factori', 'format', 'format', 'net', 'sf', 'jabref', 'cli']"
SystemOutputPrinter.java,CLI,"['net', 'sf', 'jabref', 'logic', 'import', 'output', 'printer', 'net', 'sf', 'jabref', 'cli']"
XMPUtilMain.java,CLI,"['io', 'buffer', 'reader', 'io', 'file', 'io', 'file', 'input', 'stream', 'io', 'file', 'reader', 'io', 'ioexcept', 'io', 'input', 'stream', 'reader', 'io', 'writer', 'nio', 'charset', 'standard', 'charset', 'util', 'collect', 'util', 'list', 'util', 'option', 'javax', 'xml', 'transform', 'transform', 'except', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'logic', 'bibtex', 'bib', 'entri', 'writer', 'net', 'sf', 'jabref', 'logic', 'bibtex', 'latex', 'field', 'formatt', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'format', 'prefer', 'net', 'sf', 'jabref', 'logic', 'import', 'parser', 'result', 'net', 'sf', 'jabref', 'logic', 'import', 'fileformat', 'bibtex', 'parser', 'net', 'sf', 'jabref', 'logic', 'xmp', 'xmpprefer', 'net', 'sf', 'jabref', 'logic', 'xmp', 'xmputil', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'mode', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'org', 'apach', 'jempbox', 'impl', 'xmlutil', 'org', 'apach', 'jempbox', 'xmp', 'xmpmetadata', 'net', 'sf', 'jabref', 'cli']"
Globals.java,GLOBALS,"['net', 'sf', 'jabref', 'collab', 'file', 'updat', 'monitor', 'net', 'sf', 'jabref', 'gui', 'global', 'focu', 'listen', 'net', 'sf', 'jabref', 'gui', 'keyboard', 'key', 'bind', 'prefer', 'net', 'sf', 'jabref', 'logic', 'error', 'stream', 'eavesdropp', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'format', 'reader', 'net', 'sf', 'jabref', 'logic', 'journal', 'journal', 'abbrevi', 'loader', 'net', 'sf', 'jabref', 'logic', 'protectedterm', 'protect', 'term', 'loader', 'net', 'sf', 'jabref', 'logic', 'remot', 'server', 'remot', 'listen', 'server', 'lifecycl', 'net', 'sf', 'jabref', 'logic', 'util', 'build', 'info', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'net', 'sf', 'jabref']"
Change.java,GUI,"['javax', 'swing', 'jcompon', 'javax', 'swing', 'tree', 'default', 'mutabl', 'tree', 'node', 'net', 'sf', 'jabref', 'gui', 'base', 'panel', 'net', 'sf', 'jabref', 'gui', 'undo', 'name', 'compound', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'collab']"
