FileName,Label,FileContent
ArgumentProcessor.java,CLI,"['io', 'file', 'io', 'ioexcept', 'nio', 'file', 'path', 'nio', 'file', 'path', 'util', 'array', 'list', 'util', 'collect', 'util', 'collect', 'util', 'list', 'util', 'local', 'util', 'map', 'util', 'option', 'util', 'pref', 'back', 'store', 'except', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'jab', 'ref', 'except', 'net', 'sf', 'jabref', 'gui', 'externalfil', 'auto', 'set', 'link', 'net', 'sf', 'jabref', 'gui', 'import', 'fetcher', 'entri', 'fetcher', 'net', 'sf', 'jabref', 'gui', 'import', 'fetcher', 'entri', 'fetcher', 'net', 'sf', 'jabref', 'logic', 'custom', 'entri', 'type', 'manag', 'net', 'sf', 'jabref', 'logic', 'bibtexkeypattern', 'bibtex', 'key', 'pattern', 'util', 'net', 'sf', 'jabref', 'logic', 'export', 'bib', 'databas', 'writer', 'net', 'sf', 'jabref', 'logic', 'export', 'bibtex', 'databas', 'writer', 'net', 'sf', 'jabref', 'logic', 'export', 'export', 'format', 'net', 'sf', 'jabref', 'logic', 'export', 'export', 'format', 'net', 'sf', 'jabref', 'logic', 'export', 'file', 'save', 'session', 'net', 'sf', 'jabref', 'logic', 'export', 'iexport', 'format', 'net', 'sf', 'jabref', 'logic', 'export', 'save', 'except', 'net', 'sf', 'jabref', 'logic', 'export', 'save', 'prefer', 'net', 'sf', 'jabref', 'logic', 'export', 'save', 'session', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'except', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'format', 'reader', 'net', 'sf', 'jabref', 'logic', 'import', 'open', 'databas', 'net', 'sf', 'jabref', 'logic', 'import', 'output', 'printer', 'net', 'sf', 'jabref', 'logic', 'import', 'parser', 'result', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'logic', 'layout', 'layout', 'formatt', 'prefer', 'net', 'sf', 'jabref', 'logic', 'log', 'jab', 'ref', 'logger', 'net', 'sf', 'jabref', 'logic', 'net', 'urldownload', 'net', 'sf', 'jabref', 'logic', 'search', 'databas', 'searcher', 'net', 'sf', 'jabref', 'logic', 'search', 'search', 'queri', 'net', 'sf', 'jabref', 'logic', 'util', 'os', 'net', 'sf', 'jabref', 'model', 'default', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'context', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'mode', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'model', 'metadata', 'meta', 'data', 'net', 'sf', 'jabref', 'model', 'string', 'string', 'util', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'net', 'sf', 'jabref', 'prefer', 'search', 'prefer', 'net', 'sf', 'jabref', 'share', 'pref', 'share', 'databas', 'prefer', 'org', 'apach', 'common', 'log', 'log', 'org', 'apach', 'common', 'log', 'log', 'factori', 'option', 'option', 'prefer', 'ex', 'net', 'sf', 'jabref', 'cli', 'argument', 'processor', 'argument', 'processor', 'list', 'jab', 'ref', 'cli', 'search', 'preferences', 'search', 'query', 'database', 'searcher', 'aux', 'command', 'line', 'defaults', 'bib', 'database', 'context', 'defaults', 'bib', 'database', 'context', 'shared', 'database', 'preferences', 'entry', 'fetchers', 'import', 'inspection', 'command', 'line', 'parser', 'result', 'urldownload', 'system', 'output', 'printer', 'log', 'jab', 'ref', 'cli', 'list', 'parser', 'result', 'mode', 'check', 'reset', 'prefer', 'default', 'valu', 'check', 'import', 'prefer', 'file', 'list', 'put', 'import', 'load', 'databas', 'enabl', 'blank', 'within', 'search', 'term', 'stand', 'blank', 'export', 'match', 'read', 'export', 'format', 'take', 'default', 'format', 'format', 'enter', 'default', 'exportformat', 'html', 'tabl', 'abstract', 'bibtex', 'export', 'new', 'databas', 'exportformat', 'instanc', 'leftov', 'argument', 'bib', 'extens', 'interpret', 'bib', 'file', 'open', 'file', 'file', 'could', 'open', 'bib', 'tri', 'import', 'instead', 'tri', 'import', 'file', 'normal', 'import', 'new', 'tab', 'import', 'initi', 'anoth', 'instanc', 'remot', 'listen', 'instead', 'import', 'current', 'databas', 'enabl', 'easi', 'integr', 'web', 'browser', 'open', 'refer', 'file', 'jabref', 'write', 'output', 'someth', 'could', 'resolv', 'show', 'warn', 'messag', 'encod', 'work', 'charact', 'signal', 'latest', 'import', 'store', 'bibtex', 'format', 'given', 'file', 'show', 'warn', 'messag', 'encod', 'work', 'charact', 'signal', 'latest', 'import', 'store', 'given', 'format', 'given', 'file', 'set', 'global', 'variabl', 'databas', 'file', 'directori', 'export', 'formatt', 'resolv', 'link', 'file', 'correctli', 'ugli', 'hack', 'exportformat', 'instanc', 'tri', 'make', 'new', 'label', 'address', 'startswith', 'http', 'address', 'startswith', 'ftp', 'download', 'web', 'resourc', 'temporari', 'file', 'mean', 'guess', 'format', 'run', 'entri', 'fetcher', 'command', 'line', 'p', 'note', 'work', 'headlessli', 'entryfetch', 'show', 'gui', 'param', 'fetchcommand', 'string', 'contain', 'fetcher', 'use', 'id', 'entryfetcherextens', 'minu', 'fetcher', 'search', 'queri', 'separ', 'return', 'parser', 'result', 'contain', 'entri', 'fetch', 'null', 'error', 'occur', 'open', 'file', 'like', 'importfil', 'also', 'request', 'jabref', 'focu', 'databas', 'param', 'argument', 'see', 'importfil', 'return', 'parserresult', 'settoopentab', 'true', 'argument', 'processor', 'get', 'parser', 'results', 'parser', 'results', 'blank', 'shut', 'get', 'log', 'empty', 'blank', 'debug', 'logging', 'set', 'debug', 'initial', 'start', 'cli', 'show', 'version', 'display', 'version', 'initial', 'start', 'cli', 'help', 'print', 'usage', 'empty', 'list', 'preferences', 'reset', 'get', 'preferences', 'reset', 'preferences', 'import', 'blank', 'fetcher', 'engine', 'get', 'fetcher', 'engine', 'present', 'export', 'matches', 'empty', 'empty', 'list', 'err', 'println', 'lang', 'generate', 'bibtex', 'keys', 'automatically', 'set', 'file', 'links', 'file', 'export', 'empty', 'get', 'file', 'export', 'split', 'err', 'println', 'lang', 'debug', 'preferences', 'export', 'prefs', 'export', 'preferences', 'get', 'preferences', 'export', 'error', 'blank', 'aux', 'import', 'get', 'export', 'matches', 'split', 'replace', 'get', 'size', 'get', 'database', 'context', 'get', 'database', 'case', 'sensitive', 'regular', 'expression', 'get', 'matches', 'empty', 'err', 'println', 'lang', 'concat', 'concat', 'lang', 'concat', 'get', 'export', 'matches', 'syntax', 'get', 'export', 'format', 'err', 'println', 'lang', 'println', 'lang', 'perform', 'export', 'get', 'meta', 'data', 'get', 'encoding', 'else', 'prefs', 'get', 'default', 'encoding', 'err', 'println', 'lang', 'get', 'message', 'err', 'println', 'lang', 'empty', 'get', 'aux', 'import', 'split', 'println', 'lang', 'println', 'lang', 'println', 'blank', 'get', 'left', 'empty', 'get', 'left', 'lower', 'case', 'english', 'ends', 'get', 'null', 'result', 'load', 'database', 'prefs', 'get', 'import', 'format', 'preferences', 'null', 'result', 'add', 'add', 'else', 'get', 'null', 'result', 'add', 'blank', 'file', 'import', 'add', 'get', 'file', 'import', 'present', 'blank', 'import', 'open', 'base', 'get', 'import', 'open', 'base', 'present', 'get', 'get', 'database', 'perform', 'entries', 'get', 'correct', 'file', 'name', 'println', 'lang', 'load', 'save', 'preferences', 'preference', 'prefs', 'get', 'boolean', 'save', 'database', 'get', 'writer', 'could', 'encode', 'err', 'println', 'lang', 'lang', 'get', 'encoding', 'display', 'name', 'get', 'writer', 'get', 'problem', 'characters', 'commit', 'err', 'println', 'lang', 'n', 'ex', 'get', 'localized', 'message', 'println', 'lang', 'empty', 'get', 'size', 'invalid', 'println', 'lang', 'load', 'save', 'preferences', 'preference', 'prefs', 'get', 'boolean', 'save', 'database', 'get', 'database', 'get', 'meta', 'data', 'get', 'writer', 'could', 'encode', 'err', 'println', 'lang', 'lang', 'get', 'encoding', 'display', 'name', 'get', 'writer', 'get', 'problem', 'characters', 'commit', 'err', 'println', 'lang', 'n', 'ex', 'get', 'localized', 'message', 'err', 'println', 'lang', 'get', 'size', 'get', 'file', 'get', 'absolute', 'get', 'absolute', 'file', 'get', 'database', 'context', 'set', 'database', 'file', 'get', 'file', 'directory', 'prefs', 'get', 'file', 'directory', 'preferences', 'println', 'lang', 'get', 'export', 'format', 'err', 'println', 'lang', 'perform', 'export', 'get', 'database', 'context', 'get', 'database', 'context', 'get', 'meta', 'data', 'get', 'encoding', 'else', 'prefs', 'get', 'default', 'encoding', 'err', 'println', 'lang', 'get', 'message', 'prefs', 'import', 'preferences', 'get', 'preferences', 'import', 'load', 'custom', 'entry', 'types', 'prefs', 'custom', 'exports', 'get', 'custom', 'export', 'formats', 'get', 'layout', 'formatter', 'preferences', 'load', 'export', 'preferences', 'init', 'exports', 'error', 'equals', 'trim', 'println', 'lang', 'prefs', 'clear', 'clear', 'err', 'println', 'lang', 'error', 'split', 'prefs', 'key', 'trim', 'println', 'lang', 'trim', 'prefs', 'clear', 'trim', 'println', 'lang', 'trim', 'get', 'database', 'info', 'lang', 'auto', 'set', 'links', 'get', 'entries', 'get', 'database', 'context', 'get', 'database', 'get', 'meta', 'data', 'info', 'lang', 'get', 'entries', 'make', 'label', 'get', 'cite', 'key', 'pattern', 'prefs', 'get', 'bibtex', 'key', 'pattern', 'preferences', 'get', 'key', 'pattern', 'prefs', 'get', 'bibtex', 'key', 'pattern', 'preferences', 'info', 'lang', 'contains', 'split', 'println', 'lang', 'println', 'lang', 'empty', 'split', 'get', 'entry', 'fetchers', 'equals', 'ignore', 'case', 'get', 'class', 'get', 'simple', 'name', 'replace', 'println', 'lang', 'println', 'lang', 'get', 'entry', 'fetchers', 'println', 'get', 'class', 'get', 'simple', 'name', 'replace', 'lower', 'case', 'empty', 'println', 'lang', 'lang', 'query', 'empty', 'println', 'lang', 'empty', 'blank', 'present', 'set', 'open', 'tab', 'split', 'starts', 'starts', 'starts', 'download', 'temporary', 'file', 'err', 'println', 'lang', 'get', 'localized', 'message', 'empty', 'get', 'get', 'replace', 'get', 'property', 'present', 'warnings', 'show', 'message', 'get', 'error', 'message', 'equals', 'println', 'lang', 'import', 'format', 'reader', 'import', 'file', 'println', 'lang', 'import', 'format', 'reader', 'import', 'unknown', 'format', 'println', 'lang', 'err', 'println', 'lang', 'get', 'localized', 'message', 'empty', 'disable', 'gui', 'show', 'version']"
AuxCommandLine.java,CLI,"['net', 'sf', 'jabref', 'logic', 'auxpars', 'aux', 'parser', 'net', 'sf', 'jabref', 'logic', 'auxpars', 'aux', 'parser', 'result', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'model', 'string', 'string', 'util', 'net', 'sf', 'jabref', 'cli', 'aux', 'command', 'line', 'aux', 'command', 'line', 'bib', 'database', 'aux', 'parser', 'bib', 'database', 'print', 'statist', 'aux', 'command', 'line', 'perform', 'aux', 'file', 'string', 'util', 'get', 'correct', 'file', 'name', 'empty', 'parse', 'get', 'generated', 'bib', 'database', 'println', 'get', 'information']"
CrossrefFetcherEvaluator.java,CLI,"['io', 'file', 'reader', 'io', 'ioexcept', 'util', 'list', 'util', 'option', 'util', 'concurr', 'count', 'latch', 'util', 'concurr', 'executor', 'servic', 'util', 'concurr', 'executor', 'util', 'concurr', 'atom', 'atom', 'integ', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'logic', 'import', 'parser', 'result', 'net', 'sf', 'jabref', 'logic', 'import', 'fetcher', 'cross', 'ref', 'net', 'sf', 'jabref', 'logic', 'import', 'fileformat', 'bibtex', 'parser', 'net', 'sf', 'jabref', 'logic', 'util', 'doi', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'model', 'entri', 'field', 'name', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'net', 'sf', 'jabref', 'cli', 'crossref', 'fetcher', 'evaluator', 'file', 'reader', 'bibtex', 'parser', 'atomic', 'integer', 'atomic', 'integer', 'atomic', 'integer', 'atomic', 'integer', 'count', 'down', 'latch', 'runnable', 'use', 'check', 'new', 'algorithm', 'improv', 'threshold', 'use', 'insid', 'jabref', 'code', 'main', 'run', 'prefs', 'jab', 'ref', 'preferences', 'get', 'instance', 'prefs', 'get', 'import', 'format', 'preferences', 'parse', 'get', 'database', 'get', 'entries', 'size', 'new', 'fixed', 'thread', 'pool', 'execute', 'get', 'field', 'doi', 'flat', 'map', 'present', 'increment', 'get', 'find', 'doi', 'present', 'increment', 'get', 'get', 'get', 'doi', 'equals', 'ignore', 'case', 'get', 'get', 'doi', 'increment', 'get', 'println', 'println', 'find', 'doi', 'present', 'println', 'increment', 'get', 'count', 'await', 'println', 'println', 'println', 'println', 'println', 'println', 'shutdown']"
GenerateCharacterTable.java,CLI,"['util', 'map', 'util', 'tree', 'map', 'net', 'sf', 'jabref', 'model', 'string', 'htmlunicod', 'convers', 'map', 'net', 'sf', 'jabref', 'cli', 'generate', 'character', 'table', 'main', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'entry', 'character', 'character', 'map', 'entry', 'set', 'println', 'get', 'key', 'get', 'key', 'value', 'chars', 'get', 'key', 'string', 'get', 'key', 'get', 'value', 'get', 'value', 'println', 'println']"
ImportInspectionCommandLine.java,CLI,"['util', 'collect', 'util', 'collect', 'util', 'link', 'list', 'util', 'list', 'net', 'sf', 'jabref', 'gui', 'import', 'fetcher', 'entri', 'fetcher', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'inspector', 'net', 'sf', 'jabref', 'logic', 'import', 'output', 'printer', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'cli', 'import', 'inspection', 'command', 'line', 'import', 'inspector', 'collection', 'system', 'output', 'printer', 'list', 'bib', 'entry', 'output', 'printer', 'add', 'entry', 'set', 'progress', 'query', 'add', 'set', 'status', 'lang', 'value', 'value', 'clear', 'process', 'query', 'empty', 'list']"
JabRefCLI.java,CLI,"['util', 'array', 'util', 'list', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'logic', 'export', 'export', 'format', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'local', 'org', 'apach', 'common', 'cli', 'command', 'line', 'org', 'apach', 'common', 'cli', 'default', 'parser', 'org', 'apach', 'common', 'cli', 'help', 'formatt', 'org', 'apach', 'common', 'cli', 'option', 'org', 'apach', 'common', 'cli', 'option', 'org', 'apach', 'common', 'cli', 'pars', 'except', 'org', 'apach', 'common', 'log', 'log', 'org', 'apach', 'common', 'log', 'log', 'factori', 'format', 'import', 'format', 'net', 'sf', 'jabref', 'cli', 'jab', 'ref', 'cli', 'jab', 'ref', 'cli', 'list', 'default', 'parser', 'runtime', 'exception', 'options', 'help', 'formatter', 'log', 'list', 'command', 'line', 'boolean', 'option', 'github', 'com', 'jabref', 'jabref', 'issu', 'jab', 'ref', 'cli', 'help', 'show', 'version', 'blank', 'load', 'session', 'disable', 'gui', 'preferences', 'export', 'get', 'preferences', 'export', 'preferences', 'import', 'get', 'preferences', 'import', 'preferences', 'reset', 'get', 'preferences', 'reset', 'file', 'export', 'get', 'file', 'export', 'file', 'import', 'get', 'file', 'import', 'aux', 'import', 'get', 'aux', 'import', 'import', 'open', 'base', 'get', 'import', 'open', 'base', 'debug', 'logging', 'fetcher', 'engine', 'get', 'fetcher', 'engine', 'export', 'matches', 'get', 'export', 'matches', 'generate', 'bibtex', 'keys', 'option', 'automatically', 'set', 'file', 'links', 'option', 'display', 'version', 'print', 'usage', 'get', 'left', 'get', 'export', 'matches', 'syntax', 'get', 'log', 'cl', 'default', 'parser', 'parse', 'left', 'arrays', 'list', 'get', 'args', 'warn', 'print', 'usage', 'option', 'option', 'option', 'option', 'option', 'option', 'get', 'option', 'value', 'option', 'get', 'option', 'value', 'option', 'get', 'option', 'value', 'option', 'get', 'option', 'value', 'option', 'get', 'option', 'value', 'option', 'get', 'option', 'value', 'option', 'get', 'option', 'value', 'option', 'option', 'get', 'option', 'value', 'option', 'get', 'option', 'value', 'option', 'option', 'add', 'option', 'lang', 'add', 'option', 'lang', 'add', 'option', 'lang', 'add', 'option', 'lang', 'add', 'option', 'lang', 'add', 'option', 'builder', 'format', 'lang', 'lang', 'build', 'add', 'option', 'builder', 'format', 'lang', 'lang', 'add', 'option', 'builder', 'lang', 'add', 'option', 'builder', 'lang', 'add', 'option', 'builder', 'lang', 'add', 'option', 'builder', 'format', 'aux', 'bib', 'localization', 'lang', 'lang', 'lang', 'add', 'option', 'builder', 'lang', 'add', 'option', 'builder', 'lang', 'add', 'option', 'builder', 'get', 'export', 'matches', 'syntax', 'add', 'option', 'builder', 'lang', 'build', 'add', 'option', 'builder', 'lang', 'println', 'import', 'format', 'reader', 'get', 'import', 'format', 'list', 'format', 'lang', 'get', 'console', 'export', 'list', 'format', 'lang', 'print', 'help', 'format', 'build', 'info', 'get', 'version', 'format', 'lang', 'lang', 'lang']"
SystemOutputPrinter.java,CLI,"['net', 'sf', 'jabref', 'logic', 'import', 'output', 'printer', 'net', 'sf', 'jabref', 'cli', 'system', 'output', 'printer', 'output', 'printer', 'set', 'status', 'show', 'message', 'show', 'message', 'println', 'println', 'println']"
XMPUtilMain.java,CLI,"['io', 'buffer', 'reader', 'io', 'file', 'io', 'file', 'input', 'stream', 'io', 'file', 'reader', 'io', 'ioexcept', 'io', 'input', 'stream', 'reader', 'io', 'string', 'writer', 'nio', 'charset', 'standard', 'charset', 'util', 'collect', 'util', 'list', 'util', 'option', 'javax', 'xml', 'transform', 'transform', 'except', 'net', 'sf', 'jabref', 'global', 'net', 'sf', 'jabref', 'logic', 'bibtex', 'bib', 'entri', 'writer', 'net', 'sf', 'jabref', 'logic', 'bibtex', 'latex', 'field', 'formatt', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'format', 'prefer', 'net', 'sf', 'jabref', 'logic', 'import', 'parser', 'result', 'net', 'sf', 'jabref', 'logic', 'import', 'fileformat', 'bibtex', 'parser', 'net', 'sf', 'jabref', 'logic', 'xmp', 'xmpprefer', 'net', 'sf', 'jabref', 'logic', 'xmp', 'xmputil', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'mode', 'net', 'sf', 'jabref', 'model', 'entri', 'bib', 'entri', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'org', 'apach', 'jempbox', 'impl', 'xmlutil', 'org', 'apach', 'jempbox', 'xmp', 'xmpmetadata', 'net', 'sf', 'jabref', 'cli', 'xmputil', 'main', 'file', 'bib', 'entry', 'writer', 'latex', 'field', 'formatter', 'string', 'writer', 'file', 'reader', 'file', 'buffered', 'reader', 'input', 'stream', 'reader', 'file', 'input', 'stream', 'bibtex', 'parser', 'file', 'file', 'reader', 'file', 'forget', 'initi', 'prefer', 'read', 'pdf', 'write', 'bibtex', 'read', 'bib', 'write', 'xmp', 'read', 'pdf', 'write', 'bibtex', 'need', 'parserresult', 'access', 'result', 'getdatabas', 'later', 'jabref', 'sourceforg', 'net', 'command', 'line', 'tool', 'work', 'xmp', 'data', 'read', 'write', 'xmp', 'metadata', 'pdf', 'file', 'usag', 'dl', 'dd', 'read', 'pdf', 'print', 'bibtex', 'dd', 'dt', 'xmputil', 'pdf', 'dt', 'dd', 'read', 'pdf', 'print', 'raw', 'xmp', 'dd', 'dt', 'xmputil', 'x', 'pdf', 'dt', 'dd', 'write', 'entri', 'bib', 'given', 'key', 'pdf', 'dd', 'dt', 'xmputil', 'key', 'bib', 'pdf', 'dt', 'dd', 'write', 'entri', 'bib', 'pdf', 'dd', 'dt', 'xmputil', 'bib', 'pdf', 'dt', 'dl', 'param', 'arg', 'command', 'line', 'string', 'pass', 'util', 'throw', 'ioexcept', 'given', 'file', 'could', 'read', 'written', 'throw', 'transformerexcept', 'given', 'bibentri', 'malform', 'print', 'usag', 'inform', 'command', 'line', 'tool', 'xmputil', 'see', 'xmputilmain', 'main', 'string', 'main', 'prefs', 'jab', 'ref', 'preferences', 'get', 'instance', 'prefs', 'get', 'xmppreferences', 'prefs', 'get', 'import', 'format', 'preferences', 'ends', 'read', 'xmp', 'prefs', 'get', 'latex', 'field', 'formatter', 'preferences', 'write', 'println', 'get', 'buffer', 'ends', 'parse', 'get', 'database', 'get', 'entries', 'empty', 'err', 'println', 'println', 'xmp', 'get', 'database', 'equals', 'ends', 'read', 'raw', 'xmp', 'present', 'save', 'get', 'get', 'xmpdocument', 'standard', 'charsets', 'utf', 'name', 'err', 'println', 'ends', 'bib', 'args', 'ends', 'get', 'database', 'parse', 'get', 'database', 'get', 'entries', 'empty', 'err', 'println', 'write', 'xmp', 'get', 'database', 'println', 'ends', 'bib', 'args', 'ends', 'parse', 'get', 'database', 'get', 'entry', 'key', 'present', 'write', 'xmp', 'get', 'get', 'database', 'println', 'err', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println']"
Globals.java,GLOBALS,"['net', 'sf', 'jabref', 'collab', 'file', 'updat', 'monitor', 'net', 'sf', 'jabref', 'gui', 'global', 'focu', 'listen', 'net', 'sf', 'jabref', 'gui', 'keyboard', 'key', 'bind', 'prefer', 'net', 'sf', 'jabref', 'logic', 'error', 'stream', 'eavesdropp', 'net', 'sf', 'jabref', 'logic', 'import', 'import', 'format', 'reader', 'net', 'sf', 'jabref', 'logic', 'journal', 'journal', 'abbrevi', 'loader', 'net', 'sf', 'jabref', 'logic', 'protectedterm', 'protect', 'term', 'loader', 'net', 'sf', 'jabref', 'logic', 'remot', 'server', 'remot', 'listen', 'server', 'lifecycl', 'net', 'sf', 'jabref', 'logic', 'util', 'build', 'info', 'net', 'sf', 'jabref', 'prefer', 'jab', 'ref', 'prefer', 'net', 'sf', 'jabref', 'globals', 'build', 'info', 'remote', 'listener', 'server', 'lifecycle', 'import', 'format', 'reader', 'key', 'binding', 'preferences', 'global', 'focus', 'listener', 'file', 'update', 'monitor', 'key', 'binding', 'preferences', 'global', 'focus', 'listener', 'file', 'update', 'monitor', 'stream', 'eavesdropper', 'jabref', 'version', 'info', 'remot', 'listen', 'main', 'program', 'field', 'initi', 'jabref', 'java', 'test', 'case', 'initi', 'field', 'requir', 'key', 'bind', 'prefer', 'background', 'task', 'key', 'bind', 'prefer', 'background', 'task', 'field', 'initi', 'upon', 'startup', 'gui', 'code', 'allow', 'access', 'logic', 'code', 'use', 'depend', 'inject', 'field', 'initi', 'upon', 'startup', 'gui', 'code', 'allow', 'access', 'logic', 'code', 'use', 'depend', 'inject', 'build', 'info', 'remote', 'listener', 'server', 'lifecycle', 'import', 'format', 'reader', 'get', 'key', 'prefs', 'start', 'background', 'tasks', 'get', 'focus', 'listener', 'get', 'file', 'update', 'monitor', 'get', 'stream', 'eavesdropper', 'focus', 'listener', 'global', 'focus', 'listener', 'stream', 'eavesdropper', 'stream', 'eavesdropper', 'eavesdrop', 'system', 'file', 'update', 'monitor', 'file', 'update', 'monitor', 'instance', 'execute', 'low', 'priority', 'thread', 'build', 'info', 'build', 'info', 'remote', 'listener', 'server', 'lifecycle', 'remote', 'listener', 'import', 'format', 'reader', 'import', 'format', 'reader']"
Change.java,GUI,"['javax', 'swing', 'jcompon', 'javax', 'swing', 'tree', 'default', 'mutabl', 'tree', 'node', 'net', 'sf', 'jabref', 'gui', 'base', 'panel', 'net', 'sf', 'jabref', 'gui', 'undo', 'name', 'compound', 'net', 'sf', 'jabref', 'model', 'databas', 'bib', 'databas', 'net', 'sf', 'jabref', 'collab', 'change', 'default', 'mutable', 'tree', 'node', 'accepted', 'method', 'use', 'disabl', 'accept', 'box', 'parent', 'set', 'accept', 'thu', 'user', 'disabl', 'e', 'g', 'entri', 'chang', 'without', 'disabl', 'field', 'chang', 'return', 'boolean', 'fals', 'parent', 'overrid', 'accept', 'method', 'return', 'jcompon', 'detail', 'natur', 'chang', 'return', 'jcompon', 'perform', 'chang', 'method', 'respons', 'ad', 'proper', 'undo', 'edit', 'namedcompound', 'chang', 'undon', 'param', 'panel', 'basepanel', 'tab', 'databas', 'live', 'param', 'secondari', 'bibdatabas', 'tmp', 'databas', 'chang', 'also', 'made', 'param', 'undoedit', 'namedcompound', 'compound', 'hold', 'undo', 'edit', 'return', 'true', 'chang', 'made', 'fals', 'accept', 'string', 'accepted', 'set', 'accepted', 'acceptable', 'description', 'make', 'change', 'accepted']"
