FileName,Label,FileContent
Apache20LicenseHelp.java,apacheutils-6.9.122,"['org', 'processmining', 'help']"
Apache20License.java,apacheutils-6.9.122,"['io', 'buffer', 'reader', 'io', 'ioexcept', 'io', 'input', 'stream', 'io', 'input', 'stream', 'reader', 'net', 'malform', 'urlexcept', 'net', 'url', 'org', 'processmin', 'framework', 'util', 'htmlto', 'org', 'processmining', 'models']"
Apache20LicensePlugin.java,apacheutils-6.9.122,"['org', 'processmin', 'context', 'uitopia', 'uiplugin', 'context', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uitopia', 'variant', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmin', 'help', 'apach', 'licens', 'help', 'org', 'processmin', 'model', 'apach', 'licens', 'org', 'processmining', 'plugins']"
LGPLLicenseHelp.java,basicutils-6.9.126,"['org', 'processmining', 'basicutils', 'help']"
ObjectArrayImpl.java,basicutils-6.9.126,"['io', 'file', 'io', 'input', 'stream', 'io', 'input', 'stream', 'reader', 'io', 'reader', 'util', 'array', 'list', 'util', 'list', 'org', 'processmin', 'basicutil', 'model', 'object', 'array', 'org', 'processmin', 'framework', 'abstractplugin', 'abstract', 'import', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'com', 'csvreader', 'csv', 'reader', 'org', 'processmining', 'basicutils', 'models', 'impl']"
LGPLLicense.java,basicutils-6.9.126,"['io', 'buffer', 'reader', 'io', 'ioexcept', 'io', 'input', 'stream', 'io', 'input', 'stream', 'reader', 'net', 'malform', 'urlexcept', 'net', 'url', 'org', 'processmin', 'framework', 'util', 'htmlto', 'org', 'processmining', 'basicutils', 'models']"
ObjectArray.java,basicutils-6.9.126,"['io', 'file', 'io', 'input', 'stream', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmining', 'basicutils', 'models']"
PluginParametersImpl.java,basicutils-6.9.126,"['org', 'processmin', 'basicutil', 'paramet', 'plugin', 'paramet', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'event', 'logger', 'messag', 'level', 'org', 'processmining', 'basicutils', 'parameters', 'impl']"
PluginParameters.java,basicutils-6.9.126,"['org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmining', 'basicutils', 'parameters']"
LGPLLicensePlugin.java,basicutils-6.9.126,"['org', 'processmin', 'basicutil', 'help', 'lgpllicens', 'help', 'org', 'processmin', 'basicutil', 'model', 'lgpllicens', 'org', 'processmin', 'context', 'uitopia', 'uiplugin', 'context', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uitopia', 'variant', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmining', 'basicutils', 'plugins']"
HTMLUtils.java,basicutils-6.9.126,"['org', 'processmining', 'basicutils', 'utils']"
StringConstants.java,basicutils-6.9.126,"['org', 'processmining', 'basicutils', 'utils']"
HTMLUtils.java,basicutils-6.9.126,"['org', 'processmining', 'utils']"
ColourMap.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapBlackBody.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapBlue.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapFixed.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapFixedOpacity.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapGreen.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapGreyBlack.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapInterpolate.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapLightBlue.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapOpacity.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapRed.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMaps.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapViridis.java,graphviz-6.9.256,"['org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
ColourMapWhiteRed.java,graphviz-6.9.256,"['awt', 'color', 'org', 'processmining', 'plugins', 'graphviz', 'colourMaps']"
AbstractDotElement.java,graphviz-6.9.256,"['awt', 'event', 'mous', 'event', 'awt', 'event', 'mous', 'listen', 'util', 'collect', 'util', 'hash', 'map', 'util', 'list', 'util', 'map', 'util', 'set', 'util', 'uuid', 'util', 'concurr', 'copi', 'on', 'write', 'array', 'list', 'org', 'processmin', 'plugin', 'graphviz', 'visualis', 'listen', 'dot', 'element', 'select', 'listen', 'org', 'processmining', 'plugins', 'graphviz', 'dot']"
Dot.java,graphviz-6.9.256,"['io', 'buffer', 'writer', 'io', 'file', 'io', 'file', 'writer', 'io', 'ioexcept', 'io', 'input', 'stream', 'org', 'apach', 'common', 'io', 'ioutil', 'org', 'processmining', 'plugins', 'graphviz', 'dot']"
Dot2Image.java,graphviz-6.9.256,"['io', 'buffer', 'input', 'stream', 'io', 'buffer', 'writer', 'io', 'file', 'io', 'file', 'output', 'stream', 'io', 'ioexcept', 'io', 'input', 'stream', 'io', 'output', 'stream', 'writer', 'io', 'print', 'stream', 'util', 'array', 'util', 'link', 'list', 'util', 'list', 'util', 'scanner', 'org', 'apach', 'common', 'compress', 'util', 'ioutil', 'org', 'apach', 'common', 'lang', 'except', 'except', 'util', 'org', 'processmining', 'plugins', 'graphviz', 'dot']"
DotCluster.java,graphviz-6.9.256,"['util', 'array', 'list', 'util', 'collect', 'util', 'hash', 'map', 'util', 'iter', 'util', 'link', 'list', 'util', 'list', 'util', 'map', 'util', 'set', 'org', 'processmining', 'plugins', 'graphviz', 'dot']"
DotEdge.java,graphviz-6.9.256,"['util', 'map', 'util', 'map', 'entri', 'org', 'processmining', 'plugins', 'graphviz', 'dot']"
DotElement.java,graphviz-6.9.256,"['awt', 'event', 'mous', 'listen', 'util', 'list', 'util', 'set', 'org', 'processmin', 'plugin', 'graphviz', 'visualis', 'listen', 'dot', 'element', 'select', 'listen', 'org', 'processmining', 'plugins', 'graphviz', 'dot']"
DotNode.java,graphviz-6.9.256,"['util', 'map', 'util', 'map', 'entri', 'org', 'processmining', 'plugins', 'graphviz', 'dot']"
DotEMFExportPlugin.java,graphviz-6.9.256,"['io', 'file', 'io', 'ioexcept', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uiexport', 'plugin', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uitopia', 'variant', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'level', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmin', 'plugin', 'graphviz', 'dot', 'dot', 'org', 'processmin', 'plugin', 'graphviz', 'visualis', 'export', 'export', 'emf', 'org', 'processmining', 'plugins', 'graphviz', 'dot', 'plugins']"
DotEPSExportPlugin.java,graphviz-6.9.256,"['io', 'file', 'io', 'ioexcept', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uiexport', 'plugin', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uitopia', 'variant', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'level', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmin', 'plugin', 'graphviz', 'dot', 'dot', 'org', 'processmin', 'plugin', 'graphviz', 'visualis', 'export', 'export', 'ep', 'org', 'processmining', 'plugins', 'graphviz', 'dot', 'plugins']"
DotExportPlugin.java,graphviz-6.9.256,"['io', 'buffer', 'writer', 'io', 'file', 'io', 'file', 'writer', 'io', 'ioexcept', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uiexport', 'plugin', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uitopia', 'variant', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'level', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmin', 'plugin', 'graphviz', 'dot', 'dot', 'org', 'processmining', 'plugins', 'graphviz', 'dot', 'plugins']"
DotImageExportPlugin.java,graphviz-6.9.256,"['awt', 'dimens', 'io', 'file', 'io', 'ioexcept', 'org', 'processmin', 'plugin', 'graphviz', 'dot', 'dot', 'org', 'processmin', 'plugin', 'graphviz', 'visualis', 'dot', 'panel', 'org', 'processmin', 'plugin', 'graphviz', 'visualis', 'export', 'export', 'org', 'processmining', 'plugins', 'graphviz', 'dot', 'plugins']"
DotPDFExportPlugin.java,graphviz-6.9.256,"['io', 'file', 'io', 'ioexcept', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uiexport', 'plugin', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uitopia', 'variant', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'level', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmin', 'plugin', 'graphviz', 'dot', 'dot', 'org', 'processmin', 'plugin', 'graphviz', 'visualis', 'export', 'export', 'pdf', 'org', 'processmining', 'plugins', 'graphviz', 'dot', 'plugins']"
