FileName,Label,FileContent
Apache20LicenseHelp.java,apacheutils-6.9.122,"['org', 'processmining', 'help', 'apache', 'license', 'help', 'text']"
Apache20LicensePlugin.java,apacheutils-6.9.122,"['org', 'processmin', 'context', 'uitopia', 'uiplugin', 'context', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uitopia', 'variant', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmin', 'help', 'apach', 'licens', 'help', 'org', 'processmin', 'model', 'apach', 'licens', 'org', 'processmining', 'plugins', 'apache', 'license', 'plugin', 'apache', 'license', 'apache', 'license', 'show']"
Apache20License.java,apacheutils-6.9.122,"['io', 'buffer', 'reader', 'io', 'ioexcept', 'io', 'input', 'stream', 'io', 'input', 'stream', 'reader', 'net', 'malform', 'urlexcept', 'net', 'url', 'org', 'processmin', 'framework', 'util', 'htmlto', 'org', 'processmining', 'models', 'apache', 'license', 'htmlto', 'string', 'string', 'buffer', 'url', 'buffered', 'reader', 'input', 'stream', 'reader', 'www', 'apach', 'org', 'licens', 'licens', '2', '0', 'html', 'throw', 'ioexcept', 'noth', 'see', 'htmlstring', 'append', 'open', 'stream', 'read', 'line', 'index', 'substring', 'index', 'length', 'index', 'substring', 'index', 'append', 'append', 'append', 'append', 'print', 'stack', 'trace', 'print', 'stack', 'trace', 'close', 'append', 'string']"
LGPLLicenseHelp.java,basicutils-6.9.126,"['org', 'processmining', 'basicutils', 'help', 'lgpllicense', 'help', 'text']"
PluginParametersImpl.java,basicutils-6.9.126,"['org', 'processmin', 'basicutil', 'paramet', 'plugin', 'paramet', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmin', 'framework', 'plugin', 'event', 'logger', 'messag', 'level', 'org', 'processmining', 'basicutils', 'parameters', 'impl', 'plugin', 'parameters', 'impl', 'plugin', 'parameters', 'plugin', 'parameters', 'impl', 'plugin', 'parameters', 'impl', 'plugin', 'parameters', 'impl', 'plugin', 'parameters', 'impl', 'equals', 'get', 'message', 'level', 'set', 'message', 'level', 'display', 'message', 'display', 'warning', 'display', 'error', 'display', 'message', 'display', 'warning', 'display', 'error', 'try', 'connections', 'set', 'try', 'connections', 'get', 'message', 'level', 'try', 'connections', 'get', 'message', 'level', 'try', 'connections', 'println', 'println', 'err', 'println', 'log', 'log', 'log']"
PluginParameters.java,basicutils-6.9.126,"['org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmining', 'basicutils', 'parameters', 'get', 'message', 'level', 'set', 'message', 'level', 'display', 'message', 'display', 'warning', 'display', 'error', 'display', 'message', 'display', 'warning', 'display', 'error', 'try', 'connections', 'set', 'try', 'connections', 'message', 'warning', 'error', 'debug']"
LGPLLicensePlugin.java,basicutils-6.9.126,"['org', 'processmin', 'basicutil', 'help', 'lgpllicens', 'help', 'org', 'processmin', 'basicutil', 'model', 'lgpllicens', 'org', 'processmin', 'context', 'uitopia', 'uiplugin', 'context', 'org', 'processmin', 'context', 'uitopia', 'annot', 'uitopia', 'variant', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'annot', 'plugin', 'variant', 'org', 'processmining', 'basicutils', 'plugins', 'lgpllicense', 'plugin', 'lgpllicense', 'lgpllicense', 'lgpllicense', 'deprec', 'use', 'runui', 'instead', 'run', 'ui', 'show']"
ObjectArray.java,basicutils-6.9.126,"['io', 'file', 'io', 'input', 'stream', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'org', 'processmining', 'basicutils', 'models', 'initi', 'object', 'array', 'add', 'element', 'array', 'param', 'element', 'return', 'index', 'element', 'remov', 'element', 'array', 'param', 'element', 'return', 'add', 'element', 'specif', 'index', 'param', 'index', 'param', 'element', 'remov', 'element', 'specif', 'index', 'param', 'index', 'return', 'element', 'specif', 'index', 'param', 'index', 'return', 'import', 'stream', 'export', 'file']"
ObjectArrayImpl.java,basicutils-6.9.126,"['io', 'file', 'io', 'input', 'stream', 'io', 'input', 'stream', 'reader', 'io', 'reader', 'util', 'array', 'list', 'util', 'list', 'org', 'processmin', 'basicutil', 'model', 'object', 'array', 'org', 'processmin', 'framework', 'abstractplugin', 'abstract', 'import', 'plugin', 'org', 'processmin', 'framework', 'plugin', 'plugin', 'context', 'com', 'csvreader', 'csv', 'reader', 'org', 'processmining', 'basicutils', 'models', 'impl', 'object', 'array', 'impl', 'k', 'object', 'array', 'k', 'k', 'input', 'stream', 'reader', 'csv', 'reader', 'init', 'add', 'element', 'remove', 'element', 'add', 'element', 'remove', 'element', 'get', 'element', 'get', 'size', 'import', 'stream', 'add', 'size', 'index', 'remove', 'add', 'remove', 'get', 'size', 'read', 'record', 'get', 'index', 'println', 'import', 'file', 'add', 'element', 'close']"
LGPLLicense.java,basicutils-6.9.126,"['io', 'buffer', 'reader', 'io', 'ioexcept', 'io', 'input', 'stream', 'io', 'input', 'stream', 'reader', 'net', 'malform', 'urlexcept', 'net', 'url', 'org', 'processmin', 'framework', 'util', 'htmlto', 'org', 'processmining', 'basicutils', 'models', 'lgpllicense', 'htmlto', 'string', 'string', 'buffer', 'url', 'buffered', 'reader', 'input', 'stream', 'reader', 'www', 'gnu', 'org', 'licens', 'lgpl', 'html', 'throw', 'ioexcept', 'noth', 'see', 'htmlstring', 'append', 'open', 'stream', 'read', 'line', 'index', 'substring', 'index', 'length', 'index', 'substring', 'index', 'append', 'append', 'append', 'append', 'print', 'stack', 'trace', 'print', 'stack', 'trace', 'close', 'append', 'string']"
