FileName,Label,FileContent
package-info.java,Client,"['teammates', 'client', 'remoteapi', 'contain', 'class', 'need', 'connect', 'back', 'end', 'directli']"
RemoteApiClient.java,Client,"['io', 'ioexcept', 'com', 'googl', 'appengin', 'tool', 'remoteapi', 'remot', 'api', 'instal', 'com', 'googl', 'appengin', 'tool', 'remoteapi', 'remot', 'api', 'option', 'com', 'googlecod', 'objectifi', 'objectifi', 'com', 'googlecod', 'objectifi', 'objectifi', 'servic', 'com', 'googlecod', 'objectifi', 'util', 'closeabl', 'teammat', 'storag', 'api', 'ofi', 'helper', 'teammat', 'test', 'driver', 'test', 'properti', 'teammates', 'client', 'remoteapi', 'remote', 'api', 'client', 'remote', 'api', 'options', 'remote', 'api', 'installer', 'dev', 'server', 'requir', 'credenti', 'tri', 'run', 'script', 'stage', 'server', 'step', '1', 'instal', 'googl', 'cloud', 'sdk', 'local', 'pc', 'first', 'http', 'cloud', 'googl', 'com', 'sdk', 'download', 'step', '2', 'run', 'gcloud', 'auth', 'login', 'termin', 'choos', 'googl', 'account', 'step', '3', 'run', 'script', 'print', 'code', 'string', 'system', 'output', 'follow', 'newlin', 'oper', 'meant', 'overridden', 'child', 'class', 'googlecode', 'objectify', 'objectify', 'service', 'ofy', 'teammates', 'url', 'replace', 'split', 'contains', 'parse', 'int', 'split', 'println', 'println', 'server', 'dev', 'server', 'use', 'development', 'server', 'credential', 'use', 'application', 'default', 'credential', 'install', 'register', 'entity', 'classes', 'begin', 'close', 'uninstall', 'println', 'println']"
AdminEmailListGenerator.java,Client,"['io', 'buffer', 'writer', 'io', 'file', 'io', 'file', 'output', 'stream', 'io', 'ioexcept', 'io', 'output', 'stream', 'writer', 'io', 'writer', 'text', 'simpl', 'date', 'format', 'util', 'calendar', 'util', 'date', 'util', 'hash', 'map', 'util', 'hash', 'set', 'util', 'list', 'org', 'joda', 'time', 'date', 'time', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'time', 'helper', 'teammat', 'storag', 'entiti', 'account', 'teammat', 'storag', 'entiti', 'cours', 'teammat', 'storag', 'entiti', 'cours', 'student', 'teammat', 'storag', 'entiti', 'instructor', 'teammates', 'client', 'scripts', 'admin', 'email', 'list', 'generator', 'remote', 'api', 'client', 'email', 'list', 'config', 'email', 'list', 'config', 'admin', 'email', 'list', 'generator', 'invalid', 'parameters', 'exception', 'file', 'file', 'output', 'stream', 'output', 'stream', 'writer', 'buffered', 'writer', 'date', 'simple', 'date', 'format', 'date', 'time', 'should', 'include', 'test', 'data', 'should', 'include', 'instructor', 'student', 'status', 'instructor', 'status', 'email', 'list', 'config', 'hash', 'map', 'date', 'handl', 'test', 'data', 'admin', 'email', 'configur', 'rang', 'set', 'specif', 'date', 'specif', 'date', 'within', 'date', 'interv', 'rang', 'set', 'specif', 'date', 'specif', 'date', 'within', 'date', 'interv', 'gener', 'txt', 'file', 'contain', 'list', 'receiv', 'email', 'br', 'list', 'file', 'configur', 'preset', 'admin', 'email', 'configur', 'section', 'main', 'operation', 'remotely', 'print', 'get', 'message', 'print', 'print', 'print', 'print', 'print', 'print', 'print', 'print', 'print', 'print', 'print', 'print', 'print', 'print', 'instructor', 'created', 'date', 'range', 'start', 'get', 'input', 'date', 'instructor', 'created', 'date', 'range', 'end', 'get', 'input', 'date', 'student', 'created', 'date', 'range', 'start', 'get', 'input', 'date', 'student', 'created', 'date', 'range', 'end', 'get', 'input', 'date', 'split', 'parse', 'int', 'parse', 'int', 'parse', 'int', 'print', 'load', 'type', 'list', 'get', 'google', 'id', 'get', 'google', 'id', 'add', 'get', 'email', 'load', 'type', 'list', 'add', 'get', 'email', 'get', 'google', 'id', 'get', 'google', 'id', 'empty', 'get', 'current', 'date', 'display', 'empty', 'ends', 'write', 'empty', 'ends', 'write', 'print', 'print', 'close', 'err', 'println', 'get', 'google', 'id', 'get', 'google', 'id', 'empty', 'get', 'google', 'id', 'get', 'created', 'get', 'get', 'course', 'id', 'get', 'get', 'course', 'id', 'get', 'course', 'id', 'put', 'get', 'course', 'id', 'get', 'created', 'get', 'created', 'get', 'google', 'id', 'get', 'google', 'id', 'empty', 'get', 'google', 'id', 'get', 'created', 'get', 'get', 'course', 'id', 'get', 'get', 'course', 'id', 'get', 'course', 'id', 'put', 'get', 'course', 'id', 'get', 'created', 'get', 'created', 'load', 'type', 'id', 'load', 'type', 'id', 'get', 'instance', 'clear', 'set', 'time', 'convert', 'user', 'time', 'zone', 'print', 'get', 'time', 'get', 'time', 'format', 'print', 'print', 'day', 'month', 'get', 'maximum', 'value', 'get', 'instance', 'clear', 'set', 'get', 'time', 'print', 'student', 'status', 'student', 'status', 'instructor', 'status', 'instructor', 'status']"
DataBundleRegenerator.java,Client,"['io', 'file', 'io', 'ioexcept', 'util', 'array', 'list', 'util', 'array', 'util', 'collect', 'util', 'list', 'util', 'map', 'org', 'json', 'jsonexcept', 'org', 'json', 'jsonobject', 'com', 'googl', 'appengin', 'api', 'datastor', 'text', 'com', 'googl', 'gson', 'reflect', 'type', 'token', 'teammat', 'common', 'datatransf', 'data', 'bundl', 'teammat', 'common', 'datatransf', 'attribut', 'feedback', 'question', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'feedback', 'respons', 'attribut', 'teammat', 'common', 'util', 'json', 'util', 'teammat', 'test', 'driver', 'file', 'helper', 'teammates', 'client', 'scripts', 'data', 'bundle', 'regenerator', 'jsonobject', 'text', 'text', 'jsonobject', 'text', 'text', 'jsonobject', 'file', 'file', 'file', 'file', 'file', 'list', 'script', 'like', 'meant', 'instanti', 'main', 'list', 'list', 'files', 'get', 'name', 'ends', 'json', 'non', 'data', 'bundle', 'json', 'contains', 'get', 'name', 'read', 'file', 'get', 'canonical', 'path', 'json', 'entry', 'feedback', 'response', 'attributes', 'response', 'map', 'db', 'feedback', 'responses', 'entry', 'set', 'get', 'value', 'entry', 'feedback', 'question', 'attributes', 'question', 'map', 'db', 'feedback', 'questions', 'entry', 'set', 'get', 'value', 'json', 'replace', 'get', 'canonical', 'path', 'response', 'meta', 'data', 'get', 'value', 'response', 'meta', 'data', 'text', 'string', 'response', 'meta', 'data', 'text', 'question', 'meta', 'data', 'get', 'value', 'question', 'meta', 'data', 'text', 'string', 'question', 'meta', 'data', 'text', 'key', 'set', 'add', 'sort', 'put', 'get', 'read', 'file', 'get', 'canonical', 'path', 'json', 'get', 'type', 'json', 'replace', 'get', 'canonical', 'path', 'read', 'file', 'get', 'canonical', 'path', 'json', 'parse', 'get', 'canonical', 'path', 'save', 'file', 'println']"
DataGenerator.java,Client,"['io', 'buffer', 'writer', 'io', 'file', 'io', 'file', 'writer', 'io', 'ioexcept', 'util', 'array', 'list', 'util', 'hash', 'map', 'util', 'hash', 'set', 'util', 'map', 'util', 'random', 'util', 'set', 'teammat', 'test', 'driver', 'test', 'properti', 'teammates', 'client', 'scripts', 'data', 'generator', 'random', 'file', 'file', 'writer', 'buffered', 'writer', 'string', 'builder', 'string', 'builder', 'string', 'builder', 'string', 'builder', 'num', 'of', 'courses', 'num', 'of', 'students', 'min', 'num', 'of', 'instructor', 'per', 'courses', 'max', 'num', 'of', 'instructor', 'per', 'courses', 'min', 'num', 'of', 'students', 'per', 'course', 'average', 'num', 'of', 'students', 'per', 'course', 'standard', 'deviation', 'student', 'per', 'course', 'max', 'num', 'of', 'students', 'per', 'course', 'max', 'team', 'size', 'min', 'team', 'size', 'array', 'list', 'hash', 'map', 'array', 'list', 'array', 'list', 'array', 'list', 'array', 'list', 'random', 'name', 'result', 'file', 'pleas', 'overrid', 'exist', 'file', 'prefix', 'use', 'entiti', 'script', 'meant', 'instanti', 'creat', 'file', 'exist', 'get', 'file', 'writer', 'creat', 'student', 'creat', 'cours', 'creat', 'output', 'string', 'number', 'cours', 'particular', 'instructor', 'add', 'instructor', 'add', 'student', 'cours', 'randomli', 'get', 'number', 'student', 'size', 'cours', 'randomli', 'pick', 'student', 'index', 'global', 'list', 'put', 'cours', 'add', 'team', 'add', 'team', 'add', 'student', 'class', 'creat', 'json', 'data', 'file', 'use', 'importdata', 'script', 'result', 'file', 'save', 'src', 'test', 'resourc', 'data', 'folder', 'p', 'script', 'use', 'teamamt', 'data', 'structur', 'json', 'framework', 'reason', 'ul', 'li', '5000', 'student', 'consum', 'lot', 'memori', 'need', 'store', 'id', 'object', 'save', 'memori', 'li', 'li', 'make', 'script', 'portabl', 'remov', 'teammat', 'common', 'common', 'import', 'defin', 'path', 'becom', 'total', 'portabl', 'script', 'speed', 'process', 'creat', 'data', 'li', 'li', 'format', 'data', 'bundl', 'json', 'quit', 'strang', 'relationship', 'array', 'li', 'ul', 'write', 'data', 'file', 'creat', 'new', 'file', 'necessari', 'param', 'data', 'data', 'string', 'write', 'param', 'filepath', 'path', 'file', 'randomli', 'creat', 'cours', 'student', 'evalu', 'particular', 'instructor', 'randomli', 'creat', 'student', 'particular', 'cours', 'return', 'json', 'string', 'present', 'databundl', 'return', 'json', 'string', 'present', 'instructor', 'return', 'json', 'string', 'present', 'cours', 'return', 'json', 'string', 'present', 'student', 'return', 'json', 'string', 'present', 'instructor', 'entiti', 'return', 'json', 'string', 'present', 'cours', 'entiti', 'return', 'json', 'string', 'present', 'student', 'entiti', 'helper', 'method', 'return', 'random', 'number', 'student', 'cours', 'main', 'exists', 'create', 'new', 'file', 'print', 'stack', 'trace', 'write', 'close', 'println', 'add', 'add', 'println', 'next', 'int', 'put', 'size', 'add', 'next', 'int', 'add', 'get', 'empty', 'next', 'int', 'empty', 'remove', 'split', 'com', 'split', 'add', 'add', 'add', 'println', 'println', 'append', 'split', 'append', 'append', 'append', 'substring', 'length', 'append', 'entry', 'entry', 'instructors', 'entry', 'set', 'get', 'get', 'value', 'get', 'key', 'append', 'append', 'append', 'substring', 'length', 'append', 'size', 'get', 'append', 'append', 'size', 'append', 'append', 'string', 'append', 'size', 'get', 'split', 'split', 'split', 'split', 'split', 'get', 'parse', 'int', 'append', 'append', 'split', 'size', 'append', 'append', 'string', 'floor', 'next', 'gaussian']"
DataMigrationForFeedbackResponseCommentSearchDocumentDateFormat.java,Client,"['io', 'ioexcept', 'lang', 'reflect', 'invoc', 'target', 'except', 'lang', 'reflect', 'method', 'text', 'date', 'format', 'text', 'pars', 'except', 'text', 'simpl', 'date', 'format', 'util', 'array', 'list', 'util', 'list', 'util', 'local', 'com', 'googl', 'appengin', 'api', 'search', 'document', 'com', 'googl', 'appengin', 'api', 'search', 'index', 'com', 'googl', 'appengin', 'api', 'search', 'index', 'spec', 'com', 'googl', 'appengin', 'api', 'search', 'put', 'except', 'com', 'googl', 'appengin', 'api', 'search', 'search', 'servic', 'factori', 'com', 'googl', 'gson', 'json', 'parser', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'client', 'script', 'util', 'loop', 'helper', 'teammat', 'common', 'datatransf', 'attribut', 'feedback', 'respons', 'comment', 'attribut', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'retri', 'maximum', 'retri', 'exceed', 'except', 'teammat', 'logic', 'core', 'feedback', 'respons', 'comment', 'logic', 'teammat', 'storag', 'search', 'feedback', 'respons', 'comment', 'search', 'document', 'teammat', 'storag', 'search', 'search', 'manag', 'teammates', 'client', 'scripts', 'data', 'migration', 'for', 'feedback', 'response', 'comment', 'search', 'document', 'date', 'format', 'remote', 'api', 'client', 'simple', 'date', 'format', 'json', 'parser', 'data', 'migration', 'for', 'feedback', 'response', 'comment', 'search', 'document', 'date', 'format', 'loop', 'helper', 'loop', 'helper', 'feedback', 'response', 'comment', 'search', 'document', 'runtime', 'exception', 'runtime', 'exception', 'is', 'preview', 'batch', 'size', 'date', 'format', 'date', 'format', 'index', 'json', 'parser', 'script', 'fix', 'date', 'format', 'old', 'link', 'feedbackresponsecommentsearchdocu', 'creat', 'v5', '93', 'p', 'v5', '93', 'use', 'gson', 'default', 'json', 'serial', 'output', 'date', 'en', 'us', 'format', 'v5', '93', 'onward', 'use', 'json', 'serial', 'write', 'date', 'prescrib', 'format', 'comment', 'search', 'document', 'exist', 'format', 'current', 'codebas', 'handl', 'p', 'p', 'script', 'migrat', 'comment', 'search', 'document', 'newer', 'prescrib', 'date', 'format', 'p', 'perform', 'updat', 'datastor', 'true', 'number', 'comment', 'document', 'process', 'per', 'cycl', 'maximum', 'document', 'updat', 'one', 'request', '200', 'limit', 'impos', 'gae', 'search', 'api', 'reflect', 'privat', 'static', 'method', 'link', 'searchmanag', 'putdocumentswithretri', 'throw', 'putexcept', 'non', 'transient', 'error', 'encount', 'throw', 'maximumretriesexceededexcept', 'list', 'fail', 'link', 'document', 'final', 'data', 'final', 'link', 'com', 'googl', 'appengin', 'api', 'search', 'operationresult', 'messag', 'final', 'messag', 'oper', 'fail', 'maximum', 'retri', 'main', 'get', 'date', 'time', 'instance', 'get', 'search', 'service', 'get', 'index', 'new', 'builder', 'set', 'name', 'operation', 'remotely', 'inst', 'get', 'feedback', 'response', 'comments', 'record', 'loop', 'add', 'get', 'count', 'size', 'size', 'get', 'get', 'id', 'string', 'get', 'field', 'search', 'document', 'field', 'feedback', 'response', 'comment', 'attribute', 'get', 'text', 'parse', 'get', 'json', 'object', 'get', 'json', 'primitive', 'get', 'string', 'parse', 'size', 'record', 'loop', 'size', 'add', 'build', 'empty', 'size', 'clear', 'get', 'declared', 'method', 'set', 'accessible', 'invoke', 'get', 'cause']"
DataMigrationForResponseRate.java,Client,"['io', 'ioexcept', 'util', 'array', 'list', 'util', 'list', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'common', 'datatransf', 'attribut', 'feedback', 'session', 'attribut', 'teammat', 'common', 'except', 'entiti', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'logic', 'api', 'logic', 'teammat', 'storag', 'api', 'feedback', 'session', 'db', 'teammates', 'client', 'scripts', 'data', 'migration', 'for', 'response', 'rate', 'remote', 'api', 'client', 'logic', 'feedback', 'sessions', 'db', 'data', 'migration', 'for', 'response', 'rate', 'logic', 'feedback', 'sessions', 'db', 'is', 'for', 'all', 'session', 'is', 'only', 'modifying', 'zero', 'response', 'rate', 'is', 'preview', 'modifi', 'valu', 'choos', 'updat', 'respond', 'session', 'specif', 'session', 'modifi', 'session', 'modifi', 'valu', 'updat', 'session', 'respond', 'modifi', 'preview', 'feedback', 'session', 'info', 'oper', 'specif', 'session', 'main', 'current', 'time', 'millis', 'operation', 'remotely', 'current', 'time', 'millis', 'println', 'get', 'feedback', 'sessions', 'get', 'feedback', 'session', 'name', 'get', 'course', 'id', 'get', 'feedback', 'sessions', 'get', 'responding', 'student', 'list', 'size', 'get', 'responding', 'instructor', 'list', 'size', 'add', 'println', 'update', 'respondents', 'println', 'println', 'print', 'stack', 'trace']"
DataMigrationForSanitizedDataInAdminEmailAttributes.java,Client,"['io', 'ioexcept', 'util', 'list', 'com', 'googl', 'appengin', 'api', 'datastor', 'text', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'client', 'script', 'util', 'loop', 'helper', 'teammat', 'common', 'datatransf', 'attribut', 'admin', 'email', 'attribut', 'teammat', 'common', 'except', 'entiti', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'common', 'util', 'sanit', 'helper', 'teammat', 'logic', 'core', 'admin', 'email', 'logic', 'teammat', 'storag', 'api', 'admin', 'email', 'db', 'teammates', 'client', 'scripts', 'data', 'migration', 'for', 'sanitized', 'data', 'in', 'admin', 'email', 'attributes', 'remote', 'api', 'client', 'admin', 'emails', 'db', 'data', 'migration', 'for', 'sanitized', 'data', 'in', 'admin', 'email', 'attributes', 'loop', 'helper', 'text', 'is', 'preview', 'admin', 'emails', 'db', 'admin', 'emails', 'logic', 'skip', 'updat', 'email', 'sanit', 'script', 'desanit', 'content', 'adminemailattribut', 'sanit', 'html', 'sanit', 'content', 'save', 'remov', 'content', 'expect', 'unsanit', 'form', 'script', 'desanit', 'content', 'exisit', 'adminemailattribut', 'email', 'unsanit', 'content', 'desanit', 'code', 'email', 'content', 'updat', 'databas', 'main', 'inst', 'operation', 'remotely', 'get', 'admin', 'emails', 'record', 'loop', 'sanitized', 'html', 'get', 'content', 'value', 'get', 'email', 'id', 'get', 'message', 'get', 'count', 'desanitize', 'html', 'get', 'content', 'value', 'content', 'text', 'update', 'admin', 'email']"
DataMigrationForSanitizedDataInCourseAttributes.java,Client,"['teammat', 'common', 'util', 'sanit', 'helper', 'desanit', 'html', 'teammat', 'common', 'util', 'sanit', 'helper', 'sanit', 'html', 'io', 'ioexcept', 'util', 'list', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'client', 'script', 'util', 'loop', 'helper', 'teammat', 'common', 'datatransf', 'attribut', 'cours', 'attribut', 'teammat', 'common', 'except', 'entiti', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'logic', 'core', 'cours', 'logic', 'teammat', 'storag', 'entiti', 'cours', 'teammates', 'client', 'scripts', 'data', 'migration', 'for', 'sanitized', 'data', 'in', 'course', 'attributes', 'remote', 'api', 'client', 'data', 'migration', 'for', 'sanitized', 'data', 'in', 'course', 'attributes', 'loop', 'helper', 'course', 'attributes', 'invalid', 'parameters', 'exception', 'is', 'preview', 'courses', 'logic', 'skip', 'updat', 'name', 'field', 'alreadi', 'unsanit', 'script', 'desanit', 'name', 'field', 'link', 'courseattribut', 'sanit', 'p', 'field', 'link', 'courseattribut', 'name', 'longer', 'sanit', 'save', 'field', 'expect', 'unsanit', 'form', 'p', 'p', 'script', 'desanit', 'field', 'exist', 'courseattribut', 'sanit', 'cours', 'unsanit', 'valu', 'field', 'p', 'perform', 'updat', 'datastor', 'true', 'main', 'inst', 'operation', 'remotely', 'load', 'type', 'list', 'record', 'loop', 'get', 'name', 'get', 'unique', 'id', 'get', 'message', 'get', 'count', 'get', 'unique', 'id', 'get', 'name', 'get', 'time', 'zone', 'valid', 'get', 'invalidity', 'info', 'update', 'course']"
DataMigrationForSanitizedDataInStudentAttributes.java,Client,"['io', 'ioexcept', 'util', 'list', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'common', 'datatransf', 'attribut', 'student', 'attribut', 'teammat', 'common', 'except', 'entiti', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'common', 'util', 'sanit', 'helper', 'teammat', 'logic', 'core', 'student', 'logic', 'teammat', 'storag', 'api', 'student', 'db', 'teammates', 'client', 'scripts', 'data', 'migration', 'for', 'sanitized', 'data', 'in', 'student', 'attributes', 'remote', 'api', 'client', 'students', 'db', 'data', 'migration', 'for', 'sanitized', 'data', 'in', 'student', 'attributes', 'invalid', 'parameters', 'exception', 'is', 'preview', 'students', 'db', 'students', 'logic', 'prepar', 'new', 'student', 'main', 'inst', 'operation', 'remotely', 'println', 'println', 'number', 'sanitized', 'email', 'sanitized', 'email', 'println', 'number', 'sanitized', 'google', 'id', 'sanitized', 'google', 'id', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'println', 'index', 'index', 'index', 'index', 'index', 'index', 'index', 'index', 'index', 'index', 'index', 'desanitize', 'html', 'comments', 'sanitized', 'string', 'email', 'sanitized', 'string', 'last', 'name', 'sanitized', 'string', 'section', 'sanitized', 'string', 'comments', 'fix', 'sanitization', 'course', 'fix', 'sanitization', 'email', 'fix', 'sanitization', 'google', 'id', 'fix', 'sanitization', 'last', 'name', 'fix', 'sanitization', 'name', 'fix', 'sanitization', 'section', 'fix', 'sanitization', 'team', 'fix', 'sanitization', 'println', 'print', 'stack', 'trace', 'println', 'print', 'stack', 'trace', 'get', 'students', 'verify', 'student', 'exists', 'get', 'student', 'email', 'update', 'existing', 'record', 'valid', 'get', 'invalidity', 'info', 'update', 'student']"
