FileName,Label,FileContent
ArgumentProcessor.java,CLI,"['Argument', 'Processor', 'Argument', 'Processor', 'List', 'Jab', 'Ref', 'CLI', 'Search', 'Preferences', 'Search', 'Query', 'Database', 'Searcher', 'Aux', 'Command', 'Line', 'Defaults', 'Bib', 'Database', 'Context', 'Defaults', 'Bib', 'Database', 'Context', 'Shared', 'Database', 'Preferences', 'Entry', 'Fetchers', 'Import', 'Inspection', 'Command', 'Line', 'Parser', 'Result', 'URLDownload', 'System', 'Output', 'Printer', 'Log', 'Jab', 'Ref', 'CLI', 'List', 'Parser', 'Result', 'Mode', 'io', 'File', 'io', 'IOException', 'nio', 'file', 'Path', 'nio', 'file', 'Paths', 'util', 'Array', 'List', 'util', 'Collection', 'util', 'Collections', 'util', 'List', 'util', 'Locale', 'util', 'Map', 'util', 'Optional', 'util', 'prefs', 'Backing', 'Store', 'Exception', 'net', 'sf', 'jabref', 'Globals', 'net', 'sf', 'jabref', 'Jab', 'Ref', 'Exception', 'net', 'sf', 'jabref', 'gui', 'externalfiles', 'Auto', 'Set', 'Links', 'net', 'sf', 'jabref', 'gui', 'importer', 'fetcher', 'Entry', 'Fetcher', 'net', 'sf', 'jabref', 'gui', 'importer', 'fetcher', 'Entry', 'Fetchers', 'net', 'sf', 'jabref', 'logic', 'Custom', 'Entry', 'Types', 'Manager', 'net', 'sf', 'jabref', 'logic', 'bibtexkeypattern', 'Bibtex', 'Key', 'Pattern', 'Util', 'net', 'sf', 'jabref', 'logic', 'exporter', 'Bib', 'Database', 'Writer', 'net', 'sf', 'jabref', 'logic', 'exporter', 'Bibtex', 'Database', 'Writer', 'net', 'sf', 'jabref', 'logic', 'exporter', 'Export', 'Format', 'net', 'sf', 'jabref', 'logic', 'exporter', 'Export', 'Formats', 'net', 'sf', 'jabref', 'logic', 'exporter', 'File', 'Save', 'Session', 'net', 'sf', 'jabref', 'logic', 'exporter', 'IExport', 'Format', 'net', 'sf', 'jabref', 'logic', 'exporter', 'Save', 'Exception', 'net', 'sf', 'jabref', 'logic', 'exporter', 'Save', 'Preferences', 'net', 'sf', 'jabref', 'logic', 'exporter', 'Save', 'Session', 'net', 'sf', 'jabref', 'logic', 'importer', 'Import', 'Exception', 'net', 'sf', 'jabref', 'logic', 'importer', 'Import', 'Format', 'Reader', 'net', 'sf', 'jabref', 'logic', 'importer', 'Open', 'Database', 'net', 'sf', 'jabref', 'logic', 'importer', 'Output', 'Printer', 'net', 'sf', 'jabref', 'logic', 'importer', 'Parser', 'Result', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'Localization', 'net', 'sf', 'jabref', 'logic', 'layout', 'Layout', 'Formatter', 'Preferences', 'net', 'sf', 'jabref', 'logic', 'logging', 'Jab', 'Ref', 'Logger', 'net', 'sf', 'jabref', 'logic', 'net', 'URLDownload', 'net', 'sf', 'jabref', 'logic', 'search', 'Database', 'Searcher', 'net', 'sf', 'jabref', 'logic', 'search', 'Search', 'Query', 'net', 'sf', 'jabref', 'logic', 'util', 'OS', 'net', 'sf', 'jabref', 'model', 'Defaults', 'net', 'sf', 'jabref', 'model', 'database', 'Bib', 'Database', 'net', 'sf', 'jabref', 'model', 'database', 'Bib', 'Database', 'Context', 'net', 'sf', 'jabref', 'model', 'database', 'Bib', 'Database', 'Mode', 'net', 'sf', 'jabref', 'model', 'entry', 'Bib', 'Entry', 'net', 'sf', 'jabref', 'model', 'metadata', 'Meta', 'Data', 'net', 'sf', 'jabref', 'model', 'strings', 'String', 'Util', 'net', 'sf', 'jabref', 'preferences', 'Jab', 'Ref', 'Preferences', 'net', 'sf', 'jabref', 'preferences', 'Search', 'Preferences', 'net', 'sf', 'jabref', 'shared', 'prefs', 'Shared', 'Database', 'Preferences', 'org', 'apache', 'commons', 'logging', 'Log', 'org', 'apache', 'commons', 'logging', 'Log', 'Factory', 'option', 'option', 'preferences', 'ex']"
AuxCommandLine.java,CLI,"['Aux', 'Command', 'Line', 'Aux', 'Command', 'Line', 'Bib', 'Database', 'Aux', 'Parser', 'Bib', 'Database', 'net', 'sf', 'jabref', 'logic', 'auxparser', 'Aux', 'Parser', 'net', 'sf', 'jabref', 'logic', 'auxparser', 'Aux', 'Parser', 'Result', 'net', 'sf', 'jabref', 'model', 'database', 'Bib', 'Database', 'net', 'sf', 'jabref', 'model', 'strings', 'String', 'Util']"
CrossrefFetcherEvaluator.java,CLI,"['Crossref', 'Fetcher', 'Evaluator', 'File', 'Reader', 'Bibtex', 'Parser', 'Atomic', 'Integer', 'Atomic', 'Integer', 'Atomic', 'Integer', 'Atomic', 'Integer', 'Count', 'Down', 'Latch', 'Runnable', 'io', 'File', 'Reader', 'io', 'IOException', 'util', 'List', 'util', 'Optional', 'util', 'concurrent', 'Count', 'Down', 'Latch', 'util', 'concurrent', 'Executor', 'Service', 'util', 'concurrent', 'Executors', 'util', 'concurrent', 'atomic', 'Atomic', 'Integer', 'net', 'sf', 'jabref', 'Globals', 'net', 'sf', 'jabref', 'logic', 'importer', 'Parser', 'Result', 'net', 'sf', 'jabref', 'logic', 'importer', 'fetcher', 'Cross', 'Ref', 'net', 'sf', 'jabref', 'logic', 'importer', 'fileformat', 'Bibtex', 'Parser', 'net', 'sf', 'jabref', 'logic', 'util', 'DOI', 'net', 'sf', 'jabref', 'model', 'database', 'Bib', 'Database', 'net', 'sf', 'jabref', 'model', 'entry', 'Bib', 'Entry', 'net', 'sf', 'jabref', 'model', 'entry', 'Field', 'Name', 'net', 'sf', 'jabref', 'preferences', 'Jab', 'Ref', 'Preferences']"
GenerateCharacterTable.java,CLI,"['Generate', 'Character', 'Table', 'util', 'Map', 'util', 'Tree', 'Map', 'net', 'sf', 'jabref', 'model', 'strings', 'HTMLUnicode', 'Conversion', 'Maps']"
ImportInspectionCommandLine.java,CLI,"['Import', 'Inspection', 'Command', 'Line', 'Import', 'Inspector', 'Collection', 'System', 'Output', 'Printer', 'List', 'Bib', 'Entry', 'Output', 'Printer', 'util', 'Collection', 'util', 'Collections', 'util', 'Linked', 'List', 'util', 'List', 'net', 'sf', 'jabref', 'gui', 'importer', 'fetcher', 'Entry', 'Fetcher', 'net', 'sf', 'jabref', 'logic', 'importer', 'Import', 'Inspector', 'net', 'sf', 'jabref', 'logic', 'importer', 'Output', 'Printer', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'Localization', 'net', 'sf', 'jabref', 'model', 'entry', 'Bib', 'Entry']"
JabRefCLI.java,CLI,"['Jab', 'Ref', 'CLI', 'Jab', 'Ref', 'CLI', 'List', 'Default', 'Parser', 'Runtime', 'Exception', 'Options', 'Help', 'Formatter', 'Log', 'List', 'Command', 'Line', 'util', 'Arrays', 'util', 'List', 'net', 'sf', 'jabref', 'Globals', 'net', 'sf', 'jabref', 'logic', 'exporter', 'Export', 'Formats', 'net', 'sf', 'jabref', 'logic', 'l', 'n', 'Localization', 'org', 'apache', 'commons', 'cli', 'Command', 'Line', 'org', 'apache', 'commons', 'cli', 'Default', 'Parser', 'org', 'apache', 'commons', 'cli', 'Help', 'Formatter', 'org', 'apache', 'commons', 'cli', 'Option', 'org', 'apache', 'commons', 'cli', 'Options', 'org', 'apache', 'commons', 'cli', 'Parse', 'Exception', 'org', 'apache', 'commons', 'logging', 'Log', 'org', 'apache', 'commons', 'logging', 'Log', 'Factory', 'formats', 'import', 'Formats']"
SystemOutputPrinter.java,CLI,"['System', 'Output', 'Printer', 'Output', 'Printer', 'net', 'sf', 'jabref', 'logic', 'importer', 'Output', 'Printer']"
XMPUtilMain.java,CLI,"['XMPUtil', 'Main', 'File', 'Bib', 'Entry', 'Writer', 'Latex', 'Field', 'Formatter', 'String', 'Writer', 'File', 'Reader', 'File', 'Buffered', 'Reader', 'Input', 'Stream', 'Reader', 'File', 'Input', 'Stream', 'Bibtex', 'Parser', 'File', 'File', 'Reader', 'File', 'io', 'Buffered', 'Reader', 'io', 'File', 'io', 'File', 'Input', 'Stream', 'io', 'File', 'Reader', 'io', 'IOException', 'io', 'Input', 'Stream', 'Reader', 'io', 'String', 'Writer', 'nio', 'charset', 'Standard', 'Charsets', 'util', 'Collection', 'util', 'List', 'util', 'Optional', 'javax', 'xml', 'transform', 'Transformer', 'Exception', 'net', 'sf', 'jabref', 'Globals', 'net', 'sf', 'jabref', 'logic', 'bibtex', 'Bib', 'Entry', 'Writer', 'net', 'sf', 'jabref', 'logic', 'bibtex', 'Latex', 'Field', 'Formatter', 'net', 'sf', 'jabref', 'logic', 'importer', 'Import', 'Format', 'Preferences', 'net', 'sf', 'jabref', 'logic', 'importer', 'Parser', 'Result', 'net', 'sf', 'jabref', 'logic', 'importer', 'fileformat', 'Bibtex', 'Parser', 'net', 'sf', 'jabref', 'logic', 'xmp', 'XMPPreferences', 'net', 'sf', 'jabref', 'logic', 'xmp', 'XMPUtil', 'net', 'sf', 'jabref', 'model', 'database', 'Bib', 'Database', 'Mode', 'net', 'sf', 'jabref', 'model', 'entry', 'Bib', 'Entry', 'net', 'sf', 'jabref', 'preferences', 'Jab', 'Ref', 'Preferences', 'org', 'apache', 'jempbox', 'impl', 'XMLUtil', 'org', 'apache', 'jempbox', 'xmp', 'XMPMetadata']"
Globals.java,GLOBALS,"['Globals', 'Build', 'Info', 'Remote', 'Listener', 'Server', 'Lifecycle', 'Import', 'Format', 'Reader', 'Key', 'Binding', 'Preferences', 'Global', 'Focus', 'Listener', 'File', 'Update', 'Monitor', 'Key', 'Binding', 'Preferences', 'Global', 'Focus', 'Listener', 'File', 'Update', 'Monitor', 'Stream', 'Eavesdropper', 'net', 'sf', 'jabref', 'collab', 'File', 'Update', 'Monitor', 'net', 'sf', 'jabref', 'gui', 'Global', 'Focus', 'Listener', 'net', 'sf', 'jabref', 'gui', 'keyboard', 'Key', 'Binding', 'Preferences', 'net', 'sf', 'jabref', 'logic', 'error', 'Stream', 'Eavesdropper', 'net', 'sf', 'jabref', 'logic', 'importer', 'Import', 'Format', 'Reader', 'net', 'sf', 'jabref', 'logic', 'journals', 'Journal', 'Abbreviation', 'Loader', 'net', 'sf', 'jabref', 'logic', 'protectedterms', 'Protected', 'Terms', 'Loader', 'net', 'sf', 'jabref', 'logic', 'remote', 'server', 'Remote', 'Listener', 'Server', 'Lifecycle', 'net', 'sf', 'jabref', 'logic', 'util', 'Build', 'Info', 'net', 'sf', 'jabref', 'preferences', 'Jab', 'Ref', 'Preferences']"
Change.java,GUI,"['Change', 'Default', 'Mutable', 'Tree', 'Node', 'accepted', 'javax', 'swing', 'JComponent', 'javax', 'swing', 'tree', 'Default', 'Mutable', 'Tree', 'Node', 'net', 'sf', 'jabref', 'gui', 'Base', 'Panel', 'net', 'sf', 'jabref', 'gui', 'undo', 'Named', 'Compound', 'net', 'sf', 'jabref', 'model', 'database', 'Bib', 'Database']"
